比赛序号(*),比赛时间,场地,分组(*),轮次(*),淘汰赛分区(*),淘汰赛轮次(*),球队1(*),球队2(*),球队1进球,球队2进球,球队1点球,球队2点球,球队1进球队员,球队2进球队员,球队1助攻队员,球队2助攻队员,球队1黄牌队员,球队2黄牌队员,球队1红牌队员,球队2红牌队员
M1,6月1日 10:30 - 11:15,①号场,A组,第一轮,,,慕尼黑华人足球俱乐部 蓝队,巴黎华人联合足球队,,,,,,,,,,,,
M2,6月1日 10:45 - 11:30,②号场,A组,第一轮,,,打酱油杜伊斯堡队,斯图加特青年队,,,,,,,,,,,,
M3,6月1日 10:45 - 11:30,③号场,B组,第一轮,,,多特蒙德CFD 13 华人足球队,KSC弗兰肯足球联队,,,,,,,,,,,,
M4,6月1日 10:45 - 11:30,④号场,B组,第一轮,,,卡尔斯鲁厄华人足球俱乐部,慕尼黑学生联队,,,,,,,,,,,,
M5,6月1日 11:40 - 12:25,①号场,C组,第一轮,,,柏林华人足球队,斯图加特华人足球队,,,,,,,,,,,,
M6,6月1日 11:40 - 12:25,②号场,C组,第一轮,,,慕尼黑华人学生城队,慕尼黑华人足球俱乐部 白队,,,,,,,,,,,,
M7,6月1日 12:35 - 13:20,①号场,A组,第二轮,,,慕尼黑华人足球俱乐部 蓝队,打酱油杜伊斯堡队,,,,,,,,,,,,
M8,6月1日 12:35 - 13:20,②号场,A组,第二轮,,,巴黎华人联合足球队,斯图加特青年队,,,,,,,,,,,,
M9,6月1日 12:35 - 13:20,③号场,B组,第二轮,,,多特蒙德CFD 13 华人足球队,卡尔斯鲁厄华人足球俱乐部,,,,,,,,,,,,
M10,6月1日 13:30 - 14:15,①号场,B组,第二轮,,,柏林华人足球队,慕尼黑华人学生城队,,,,,,,,,,,,
M11,6月1日 13:30 - 14:15,②号场,C组,第二轮,,,斯图加特华人足球队,慕尼黑华人足球俱乐部 白队,,,,,,,,,,,,
M12,6月1日 13:30 - 14:15,③号场,C组,第二轮,,,KSC弗兰肯足球联队,慕尼黑学生联队,,,,,,,,,,,,
M13,6月1日 14:25 - 15:10,①号场,A组,第三轮,,,慕尼黑华人足球俱乐部 蓝队,斯图加特青年队,,,,,,,,,,,,
M14,6月1日 14:25 - 15:10,②号场,A组,第三轮,,,巴黎华人联合足球队,打酱油杜伊斯堡队,,,,,,,,,,,,
M15,6月1日 15:20 - 16:05,①号场,B组,第三轮,,,多特蒙德CFD 13 华人足球队,慕尼黑学生联队,,,,,,,,,,,,
M16,6月1日 15:20 - 16:05,②号场,B组,第三轮,,,KSC弗兰肯足球联队,卡尔斯鲁厄华人足球俱乐部,,,,,,,,,,,,
M17,6月1日 16:15 - 17:00,①号场,C组,第三轮,,,柏林华人足球队,慕尼黑华人足球俱乐部 白队,,,,,,,,,,,,
M18,6月1日 16:15 - 17:00,②号场,C组,第三轮,,,斯图加特华人足球队,慕尼黑华人学生城队,,,,,,,,,,,,
M19,6月2日 09:00 - 10:00,①号场,,,优胜者杯,1/4决赛,,,,,,,,,,,,,,
M20,6月2日 09:00 - 10:00,②号场,,,优胜者杯,1/4决赛,,,,,,,,,,,,,,
M21,6月2日 10:00 - 11:00,①号场,,,冠军杯,1/4决赛,,,,,,,,,,,,,,
M22,6月2日 10:00 - 11:00,②号场,,,冠军杯,1/4决赛,,,,,,,,,,,,,,
M23,6月2日 10:00 - 11:00,③号场,,,冠军杯,1/4决赛,,,,,,,,,,,,,,
M24,6月2日 10:00 - 11:00,④号场,,,冠军杯,1/4决赛,,,,,,,,,,,,,,
M25,6月2日 11:00 - 12:00,①号场,,,优胜者杯,半决赛,,,,,,,,,,,,,,
M26,6月2日 11:00 - 12:00,②号场,,,排位赛,11/12名,,,,,,,,,,,,,,
M27,6月2日 11:00 - 12:00,③号场,,,优胜者杯,1/4决赛,,,,,,,,,,,,,,
M28,6月2日 11:00 - 12:00,④号场,,,优胜者杯,1/4决赛,,,,,,,,,,,,,,
M29,6月2日 12:30 - 13:30,①号场,,,冠军杯,半决赛,,,,,,,,,,,,,,
M30,6月2日 12:30 - 13:30,②号场,,,冠军杯,半决赛,,,,,,,,,,,,,,
M31,6月2日 12:30 - 13:30,③号场,,,优胜者杯,半决赛,,,,,,,,,,,,,,
M32,6月2日 12:30 - 13:30,④号场,,,排位赛,7/8名,,,,,,,,,,,,,,
M33,6月2日 13:30 - 14:30,③号场,,,排位赛,3/4名,,,,,,,,,,,,,,
M34,6月2日 13:30 - 14:30,④号场,,,优胜者杯,决赛,,,,,,,,,,,,,,
M35,6月2日 14:30 - 15:30,②号场,,,冠军杯,决赛,,,,,,,,,,,,,,
