比赛序号(*),比赛时间,场地,分组(*),轮次(*),淘汰赛分区(*),淘汰赛轮次(*),球队1(*),球队2(*),球队1进球,球队2进球,球队1点球,球队2点球,球队1进球队员,球队2进球队员,球队1助攻队员,球队2助攻队员,球队1黄牌队员,球队2黄牌队员,球队1红牌队员,球队2红牌队员
M1,5月27日 10:30,①号场,A,#1,,,慕华联,不伦瑞克,2,1,,,"A,A",B,"A,A",B,"A,A",B,"A,A",B
M2,5月27日 11:00,②号场,A,#1,,,杜伊斯堡,杜塞,1,1,,,C,D,C,D,C,D,C,D
M3,5月27日 11:00,③号场,B,#1,,,巴黎,乌尔姆,6,0,,,"E,E,E,E,E,E",,"E,E,E,E,E,E",,"E,E,E,E,E,E",,"E,E,E,E,E,E",
M4,5月27日 11:00,④号场,B,#1,,,波鸿,卡鲁,0,1,,,,H,,H,,H,,H
M5,5月27日 11:55,①号场,C,#1,,,柏林,慕尼黑中企,3,0,,,"I,I,I",,"I,I,I",,"I,I,I",,"I,I,I",
M6,5月27日 11:55,②号场,C,#1,,,斯图加特,帕德博恩,2,0,,,"K,K",,"K,K",,"K,K",,"K,K",
M7,5月27日 11:55,③号场,D,#1,,,多特蒙德,学生联,3,0,,,"M,M,M",,"M,M,M",,"M,M,M",,"M,M,M",
M8,5月27日 11:55,④号场,D,#1,,,弗兰肯,开姆尼茨,0,2,,,,"P,P",,"P,P",,"P,P",,"P,P"
M9,5月27日 12:50,①号场,A,#2,,,慕华联,杜塞,0,0,,,,,,,,,,
M10,5月27日 12:50,②号场,A,#2,,,杜伊斯堡,不伦瑞克,1,0,,,C,,C,,C,,C,
M11,5月27日 12:50,③号场,B,#2,,,巴黎,卡鲁,5,0,,,"E,E,E,E,E",,"E,E,E,E,E",,"E,E,E,E,E",,"E,E,E,E,E",
M12,5月27日 12:50,④号场,B,#2,,,波鸿,乌尔姆,1,1,,,G,F,G,F,G,F,G,F
M13,5月27日 13:45,①号场,C,#2,,,柏林,帕德博恩,1,0,,,I,,I,,I,,I,
M14,5月27日 13:45,②号场,C,#2,,,斯图加特,慕尼黑中企,2,2,,,"K,K","J,J","K,K","J,J","K,K","J,J","K,K","J,J"
M15,5月27日 13:45,③号场,D,#2,,,多特蒙德,开姆尼茨,3,0,,,"M,M,M",,"M,M,M",,"M,M,M",,"M,M,M",
M16,5月27日 13:45,④号场,D,#2,,,弗兰肯,学生联,1,0,,,O,,O,,O,,O,
